City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Nouakchott,MR,1/22/22 22:52,18.0858,-15.9785,80.53,28,73,12.55
134,Nanortalik,GL,1/22/22 22:55,60.1432,-45.2371,8.8,70,21,8.77
135,Maceio,BR,1/22/22 22:52,-9.6658,-35.7353,80.04,83,0,6.91
136,Puerto Lumbreras,ES,1/22/22 22:55,37.5633,-1.8097,49.98,91,100,4.45
137,Abu Samrah,SY,1/22/22 22:56,35.3029,37.1841,43.02,60,52,6.87
138,Bluff,NZ,1/22/22 22:56,-46.6,168.3333,57.79,64,50,12.8
139,Churapcha,RU,1/22/22 22:56,62.0025,132.4325,-16.51,99,100,1.79
140,Shingu,JP,1/22/22 22:56,33.7333,135.9833,43.79,56,100,3.67
141,Mandalgovi,MN,1/22/22 22:56,45.7625,106.2708,3.87,61,5,4.99
142,Victoria,HK,1/22/22 22:55,22.2855,114.1577,66.18,85,100,11.01
143,Manyana,BW,1/22/22 22:56,-23.4,21.7167,68.2,31,9,7.65
144,Saint-Philippe,RE,1/22/22 22:56,-21.3585,55.7679,80.19,84,79,15.9
145,Khash,IR,1/22/22 22:56,28.2211,61.2158,33.82,37,0,3.87
146,Sao Joao Da Barra,BR,1/22/22 22:56,-21.6403,-41.0511,76.33,84,1,9.42
147,Mossendjo,CG,1/22/22 22:56,-2.9506,12.7261,69.85,95,71,0.54
148,Mahebourg,MU,1/22/22 22:55,-20.4081,57.7,81.25,83,75,11.5
149,Bontang,ID,1/22/22 22:56,0.1333,117.5,75.56,91,14,5.23
150,Provideniya,RU,1/22/22 22:56,64.3833,-173.3,-0.74,100,96,5.88
151,Souillac,MU,1/22/22 22:56,-20.5167,57.5167,81.36,83,75,11.5
152,Turinsk,RU,1/22/22 22:56,58.0458,63.696,1.49,98,72,4.34
153,Qurayyat,SA,1/22/22 22:56,31.3318,37.3428,48.38,29,0,11.5
154,Nevel,RU,1/22/22 22:56,56.0209,29.9284,8.94,97,97,5.61
155,Bodden Town,KY,1/22/22 22:56,19.2833,-81.25,73.4,94,40,1.14
156,Devecser,HU,1/22/22 22:56,47.1032,17.438,28.11,93,36,4.21
157,Batticaloa,LK,1/22/22 22:56,7.7102,81.6924,71.28,76,20,4.94
158,Niquelandia,BR,1/22/22 22:56,-14.4739,-48.4597,76.24,74,70,1.88
159,Nome,US,1/22/22 22:56,64.5011,-165.4064,-7.33,100,96,2.06
160,Lexington,US,1/22/22 22:54,37.9887,-84.4777,30.34,91,38,7.87
161,Sakhipur,BD,1/22/22 22:56,24.3,90.1833,64.27,62,24,5.53
162,Lata,PT,1/22/22 22:56,40.1629,-8.3327,45.05,80,0,4.94
163,Truro,GB,1/22/22 22:56,50.2653,-5.0544,43.56,90,26,3.47
164,Klaksvik,FO,1/22/22 22:56,62.2266,-6.589,47.32,86,100,31.5
165,Vestmannaeyjar,IS,1/22/22 22:56,63.4427,-20.2734,35.69,98,100,4.16
166,Krasnozerskoye,RU,1/22/22 22:56,53.9828,79.2374,-8.5,100,98,3.78
167,Dhidhdhoo,MV,1/22/22 22:55,6.8833,73.1,80.44,67,100,6.55
168,Launceston,AU,1/22/22 22:56,-41.45,147.1667,67.8,69,76,3
169,Maniitsoq,GL,1/22/22 22:56,65.4167,-52.9,7.38,90,100,16.96
170,Dunedin,NZ,1/22/22 22:55,-45.8742,170.5036,60.8,58,59,11.01
171,Amlagora,IN,1/22/22 22:56,22.8333,87.3333,63.55,88,13,5.75
172,Chuy,UY,1/22/22 22:56,-33.6971,-53.4616,76.93,92,29,5.84
173,Santa Marta,CO,1/22/22 22:56,11.2408,-74.199,90.34,51,20,13.8
174,Narsaq,GL,1/22/22 22:56,60.9167,-46.05,-0.17,68,26,7.58
175,Dikson,RU,1/22/22 22:56,73.5069,80.5464,-6.77,100,93,7.92
176,Codrington,AU,1/22/22 22:56,-38.2667,141.9667,84.04,30,100,7.2
177,Luanda,AO,1/22/22 22:56,-8.8368,13.2343,75.34,81,100,10.92
178,Hailey,US,1/22/22 22:56,43.5196,-114.3153,2.05,72,10,1.01
